flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
  Vivekanand Swami,8170289262, Inspiring Thoughts,499,107,4.1,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by Swami Vivekanand,4.2,306,8170289262,107
  Panel of Experts,9386659964, Oswaal CBSE Question Bank Social Science for Class 8 (March 2018 Exam),78,159,4.1,Oswaal NCERT & CBSE Question Banks Class 8 Social Science,by Oswaal Editorial Board,4.4,18,9386659964,189
  Rau C. N. Shankar,8121924030, Sociology of Indian Society,100,539,4.1,Sociology of Indian Society,by Rao C.N. Shankar,3.1,9,8121924030,400
  Dubey Manish,9382665781, A Murder in Gurgaon,68,106,4.1,A Murder in Gurgaon,by Manish Dubey,3.9,69,9382665781,106
  Arni Samhita,9380340036, Sita's Ramayana,19,550,4.1,Sita's Ramayana,by Samhita Arni,3.6,5,9380340036,542
  Abdul Kalam A. P. J.,8170286840, Inspiring Thoughts,357,149,4.2,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by A.P.J. Abdul Kalam,4.1,148,8170286840,120
  Zaidi S. Hussain,9350295725, Headley And I,46,280,4.2,Headley And I,by S. Hussain Zaidi,3.5,14,9350295725,247
  unknown,9350945746, Iq Tests Book-1 - Boost Your Intelligence,67,86,4.2,IQ Tests Book-1 - Boost Your Intelligence,by Arihant Experts,3.8,19,9350945746,86
 ,9332510210, Longman School Atlas Updated Edition,32,240,4.2,Longman School Atlas,by Longman,4.1,8,9332510210,286
  unknown,9384761141, Lucent's General Science,1903,183,4.2,Lucent's General Science (2018-2019) Session,Not Available,4.1 out of 5 stars,220,9384761141,150
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2,One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Abdul Kalam A. P. J.,8170286840, Inspiring Thoughts,357,149,4.2,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by A.P.J. Abdul Kalam,4.1,148,8170286840,120
  Vaibhav Purandare,8174369589, Bal Thackeray & the Rise of the Shiv Sena,62,280,4.2,Bal Thackeray and the Rise of the Shiv Sena,by Vaibhav Purandare,3.7,13,8174369589,280
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2,One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
  Summers George J.,8172242212, The Great Book of Puzzles and Teasers,552,149,4.2,The Great Book of Puzzles & Teasers,by George J. Summers,4.2,68,8172242212,60
  Dreamland Publications,9350896540, My Baby Record Book,48,175,4.2,My Baby Record Book,by Dreamland Publications,4.4,117,9350896540,175
  Robert T. Kiyosaki,8183223362, The Business of the 21st Century,102,149,4.2,The Business of the 21St Century (Tamil),by Robert T Kiyosaki,3.8,22,8183223362,149
  Pease Allan,8183222374, Questions are the Answers,145,93,4.2,Questions Are the Answers,by Allan Pease,4,21,8183222374,84
  Hill Napoleon,8186775552, Sochiye Aur Ameer Baniye,665,112,4.2,Sochiye Aur Amir Baniye (Think and Grow Rich),by Napoleon Hill,4.2,332,8186775552,158
  Trump Donald J.,8183220908, Hum Aapko Ameer Kyon Banana Chahte Hain?,43,419,4.2,Hum Apko Ameer Kyon Banana Chahte Hain ( Why We Want You to Be Rich  in Hindi),by Robert T. Kiyosaki,3.9,15,8183220908,333
  unknown,8184511590, Lovely Board Books - Gift Pack,233,455,4.2,Lovely Board Books: Gift Pack (Set of 10 Books),by Dreamland Publications,4.3,711,8184511590,455
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2,One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
  Editorial Board,9350571099, Children's Encyclopedia - The World of Knowledge,99,975,4.2,Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,by V&S Editorial Board,4,112,9350571099,643
  Kumar Sandeep,9332541302, A Complete Resource for CTET: Child Development and Pedagogy - Central Teacher Eligibility Test - Common for Paper I and II,616,141,4.2,A Complete Resource for CTET: Child Development and Pedagogy,by Sandeep Kumar,3.9,67,9332541302,125
  unknown,9350944308, Handbook of Computer Science & it,950,120,4.2,Handbook of Computer Science & IT,by Surbhi Mitra,3.9,193,9350944308,190
  Arihant Experts,9311124559, Ccc (Course on Computer Concepts) Study Guide - Based on NIELIT (DOEACC) Latest Syllabus 2018 Edition,810,125,4.2,CCC (Course on Computer Concepts) Study Guide,by Arihant Experts,4.3,44,9311124559,147
  Disha Experts,9388026764, 19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise Solved Papers (2018 - 2000) with 4 Online Practice Sets 5th Edition,46,189,4.2,19 years GATE Computer Science & Information Technology Chapter-wise & Topic-wise...,by Disha Experts,3.8,5,9388026764,175
  unknown,9311124567, Ccc (Course on Computer Concepts),649,94,4.2,CCC (Course on Computer Concepts),by Arihant Experts,3.8,41,9311124567,94
  Gupta Vikas,9351192652, Comdex Hardware and Networking Coure Kit- Revised & Upgraded,44,399,4.2,Comdex Hardware and Networking Course Kit: Revised & Upgraded,by Vikas Gupta,4,16,9351192652,379
  Gareth Moore,1780552491, Brain Games for Clever Kids,179,137,4.2,Brain Games for Clever Kids (Buster Brain Games),by Gareth Moore,4.6,37,1780552491,188
  Driscoll Teresa,1542046599, I Am Watching You,41,269,4.2,I Am Watching You,by Teresa Driscoll,4,46,1542046599,269
  unknown,9312148389, All in One Economics Class 11th,157,315,4.2,CBSE All  In One Economics Class 11 for 2018 - 19,by Arihant Experts,3.6,17,9312148389,264
  Editorial Board,9350571099, Children's Encyclopedia - The World of Knowledge,99,975,4.2,Children's Encyclopedia - The World of Knowledge: Familiarising Children with...,by V&S Editorial Board,4,112,9350571099,643
 ,8179925919, The Theory Of Everything 01 Edition,18,190,4.2,The Theory of Everything,Stephen Hawking,4.5 out of 5 stars,531,8179925919,111
  Disha Experts,9386323567, Quick General Knowledge 2018 with Current Affairs update 2nd Edition,988,50,4.2,Quick General Knowledge 2018 with Current Affairs Update,by Disha Experts,3.4,90,9386323567,37
  Bhagat Chetan,8129142147, One Indian Girl,37246,112,4.2,One Indian Girl,Chetan Bhagat,3.6 out of 5 stars,"4,929",8129142147,96
  Gupta Ruchir,9382665072, Mistress Of The Throne - The Mughal Intrigues,140,150,4.2,Mistress of the Throne: The Mughal Intrigues,by Ruchir Gupta,4.1,71,9382665072,150
  Sharma Devanshi,9382665846, No Matter What I Do - I End Up Falling for You,475,100,4.2,No Matter What I Do: I end up Falling for You,by Devanshi Sharma,4.2,216,9382665846,88
  Byrne Rhonda,1471172392, The Secret,1395,373,4.2,The Secret,by Rhonda Byrne,4.5,1610,1471172392,538
