flipkart_author,flipkart_isbn10,flipkart_title,flipkart_ratings count,flipkart_price,flipkart_stars,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
  Pandey D. C.,9313163292, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Physics,1603,237,4.5,40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Physics,DC. Pandey,4.1 out of 5 stars,90,9313163292,191
  Laxmikanth M.,9352603869, Bharat Ki Rajvyavastha,3230,385,4.5,Bharat Ki Rajvayvastha,M. Laxmikanth,4.5 out of 5 stars,673,9352603869,381
  Agarwal Amit M.,9313163314, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Mathematics,1636,237,4.5,40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Mathematics,Amit M. Agarwal,4.2 out of 5 stars,91,9313163314,200
  Byrne Rhonda,1847370292, The Secret,6680,498,4.5,The Secret,Rhonda Byrne,4.5 out of 5 stars,"1,605",1847370292,415
  Shahi Ranjeet,9313163306, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Chemistry - 40 Years Chapterwise Topicwise Solved Papers IIT JEE CHEMISTRY with 0 Disc,1712,247,4.5,40 Years Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Chemistry,Ranjeet Shahi,4.4 out of 5 stars,91,9313163306,225
  unknown,9387504913, Oswaal CBSE Question Bank for Class 10 Science (Mar 2019 Exam),1879,247,4.5,Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),Not Available,4.6 out of 5 stars,184,9387504913,247
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247,8172343116,99
  Abdul Kalam A. P. J.,9350293471, Turning Points : A Journey Through Challanges,4059,150,4.5,Turning Points : A Journey Through Challanges: A Journey Through Challenges,by A.P.J. Abdul Kalam - Abridged,4.7,409,9350293471,135
  Smith E. Boyd,8175993286, The Autobiography Of Benjamin Franklin,90,140,4.5,The Autobiography of Benjamin Franklin,by Benjamin Franklin,4.1,253,8175993286,99
  Kroc Ray,1250127505, Grinding It Out - The Making of McDonald's,26,280,4.5,Grinding It Out: The Making of McDonald's,by Ray Kroc,4.5,21,1250127505,280
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5,Mossad,by Michael Bar-Zohar - Import,4.6,637,8184958455,340
  Andy Marino,9351770257, NARENDRA MODI,194,283,4.5,Narendra Modi: A political Biography,by Andy Marino,4.4,92,9351770257,253
  Calaprice Alice,8184953542, Albert Einstein,157,245,4.5,Albert Einstein: A Biography,by Alice Calaprice,4.3,44,8184953542,263
  M.C. Mary Kom,9351160092, UNBREAKABLE,553,145,4.5,Unbreakable,by Mary Kom,4.6,158,9351160092,145
  Yogananda,8189955357, Auto.Of A Yogi (Telugu),59,171,4.5,Autobiography of a Yogi (Telugu),by Paramahansa Yogananda,4.7,114,8189955357,141
  Tiwari Anuj,8129149567, I TAGGED HER IN MY HEART,452,109,4.5,I Tagged Her in My Heart,by Anuj Tiwari - Import,4.7,224,8129149567,100
  Usman Yasser,9386228580, Sanjay Dutt :,122,264,4.5,Sanjay Dutt: The Crazy Untold Story of Bollywood’s Bad Boy,by Yasser Usman,4.2,37,9386228580,293
  Khaled Hosseini,1408844443, A Thousand Splendid Suns,2540,309,4.5,A Thousand Splendid Suns,by Khaled Hosseini,4.5,729,1408844443,374
  Sagarika Ghose,9386228343, Indira - India's Most Powerful Prime Minister,149,359,4.5,Indira: India’s Most Powerful Prime Minister,by Sagarika Ghose,1.4,389,9386228343,508
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5,The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65
  Hill Napoleon,8192910911, Think and Grow Rich,2871,94,4.5,Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",8192910911,64
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5,How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",8192910997,79
  George Orwell,8192910903,1984,339,99,4.5,1984,George Orwell,4.4 out of 5 stars,738,8192910903,88
  Pichon L.,9351033007, Tom Gates,238,176,4.5,Tom Gates Book #2: Excellent Excuses Cand Other Good Stuff,by Tom Gates,4.8,76,9351033007,157
 ,1862305277, The Boy in the Striped Pyjamas,83,372,4.5,The Boy in the Striped Pyjamas (Definitions),by John Boyne,4.6,134,1862305277,350
  Byrne Rhonda,1847370292, The Secret,6680,498,4.5,The Secret,Rhonda Byrne,4.5 out of 5 stars,"1,605",1847370292,415
  unknown,9350598485, Accounting & Finance for Bankers,693,330,4.5,Accounting and Finance for Bankers,by Med,4.5,248,9350598485,352
  Stephenie Meyer,1904233910, Eclipse,558,309,4.5,Eclipse,by Stephenie Meyer,4.3,92,1904233910,447
  Hill Napoleon,8192910911, Think and Grow Rich,2871,94,4.5,Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",8192910911,64
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5,The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5,The Business School,by Robert T. Kiyosaki,4.5,216,8186775811,108
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105
  Hill Napoleon,8183223656, Think and Grow Rich - Magic Formula for Success- Wealth and Wisdom,413,148,4.5,Think and Grow Rich - the 21St-Century Edition,by Napoleon Hill,4.6,118,8183223656,185
  Devdutt Pattanaik,9384067547, BUSINESS SUTRA: A VERY INDIAN APPROACH TO MANAGEMENT,294,360,4.5,Business Sutra: A Very Indian Approach to Management (Old Edition),by Devdutt Pattanaik - Unabridged,4.4,110,9384067547,489
  Anil Lamba,9350294311, ROMANCING THE BALANCE SHEET,352,477,4.5,"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",by Anil Lamba,4.5,156,9350294311,477
  POONAM GANDHI,9387516806, Business Studies Class- 11 - CBSE-2018,33,342,4.5,Business Studies Class- 11 - CBSE-2018,by Poonam Gandhi,4.9,11,9387516806,350
  Josy Joseph,9350297515, A FEAST OF VULTURES,195,599,4.5,A Feast of Vultures: The Hidden Business of Democracy in India,by Josy Joseph,4.5,254,9350297515,522
  Kiyosaki Robert T.,8183221459, Retire Young Retire Rich,125,308,4.5,Retire Young Retire Rich,by Robert T. Kiyosaki,4.3,45,8183221459,344
  Arihant Expert,9313161443, CBSE Chapterwise Solved Paper Business Studies Class 12,172,124,4.5,CBSE Chapterwise Solved Paper Business Studies Class 12 for 2018-2019,by Arihant Expert,3.7,18,9313161443,110
  Bond Ruskin,8129124548, The Blue Umbrella,571,90,4.5,The Blue Umbrella,by Ruskin Bond,4.4,348,8129124548,97
  Osho,1250006201, The Book of Children,31,280,4.5,The Book of Children: Supporting the Freedom and Intelligence of a New Generation...,by Osho,4.6,35,1250006201,298
  George Orwell,8192910903,1984,339,99,4.5,1984,George Orwell,4.4 out of 5 stars,738,8192910903,88
  Charlotte Bronte,8193387619, Jane Eyre : Jane Eyre,39,99,4.5,Jane Eyre,by Charlotte Bronte,4.3,183,8193387619,88
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009,8172345666,75
  Stilton Geronimo,9386106256, Geronimo Stilton #64,285,184,4.5,Geronimo Stilton #64: The Magical Mission,by Geronimo Stilton,4.4,91,9386106256,272
  unknown,9332585601, Computer System Architecture 3e (Update) by Pearson,116,446,4.5,Computer System Architecture 3e (Update) by Pearson,by Mano M Morris,4.3,102,9332585601,446
  Arihant Expert,9313161486, CBSE Computer Science Chapterwise Solved Papers Class 12,472,166,4.5,CBSE Computer Science Chapterwise Solved Papers  Class 12 for 2018-2019,by Arihant Expert,4.4,27,9313161486,232
  Goyal Minni,9312149091, All in One Computer Science Cbse Class 12th,261,232,4.5,CBSE All  In One Computer Science CBSE Class 12 for 2018 - 19,by K. Ganesh Ayyer,4.2,19,9312149091,232
  Panel of Experts,9387504743, Oswaal ICSE Question Bank Chapterwise & Topicwise Class 10 Computer App. (Mar 2019 Exam),53,79,4.5,Oswaal ICSE Question Bank Class 10 Computer Application Chapterwise and Topicwise...,by Oswaal Editorial Board,3.7,11,9387504743,75
  Balagurusamy,9352607996, Object-Oriented Programming with C++,276,371,4.5,Object-Oriented Programming with C++,by E Balagurusamy,4.5,73,9352607996,371
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009,8172345666,75
  Salil Desai,8175994258, 3 and a Half Murders - An Inspector Saralkar Mystery,16,188,4.5,3 and a Half Murders: An Inspector Saralkar Mystery,by Salil Desai,4.4,69,8175994258,189
  Sidney Sheldon,8172234902, TELL ME YOUR DREAMS,902,209,4.5,Tell Me your Dreams,by Sidney Sheldon,4.4,160,8172234902,209
  Sidney Sheldon,8172234937, THE OTHER SIDE OF MIDNIGHT,386,209,4.5,The Other Side of Midnight,by Sidney Sheldon,4.3,53,8172234937,209
  Sheldon Sidney,8172234856, Nothing Lasts Forever,590,280,4.5,Nothing Lasts Forever,by Sidney Sheldon,4.2,84,8172234856,266
  Sidney Sheldon,8172234864, BLOODLINE,362,280,4.5,Bloodline,by Sidney Sheldon,4.3,67,8172234864,280
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009,8172345666,75
  Jeff Keller,9351772071, ATTITUDE IS EVERYTHING,5887,118,4.5,Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.6 out of 5 stars,748,9351772071,105
  Russell Rachel Renee,1471144771, Dork Diaries: Holiday Heartbreak,8,245,4.5,Dork Diaries: Holiday Heartbreak,by Rachel Renee Russell - Import,4.8,45,1471144771,254
  Tom Ang,1409346455, Photography: The Definitive Visual History,2,1581,4.5,Photography: The Definitive Visual History,by Tom Ang,5,2,1409346455,1
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5,24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,9388026586,270
  Howard Marks,1473680379, Mastering The Market Cycle,16,699,4.5,Mastering the Market Cycle: Getting the Odds on Your Side,by Howard Marks,4.1,15,1473680379,616
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5,The Business School,by Robert T. Kiyosaki,4.5,216,8186775811,108
  H L Ahuja,9352533321, Advanced Economic Theory Microeconomic Analysis,50,699,4.5,Advanced Economic Theory,by H L Ahuja,3.3,23,9352533321,655
  A P Bhardwaj,9352864964, Legal Awareness and Legal Reasoning,236,412,4.5,Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations...,by A. P. Bhardwaj,4.4,46,9352864964,412
  Pandey Ajay K.,9382665870, Her Last Wish,2431,101,4.5,Her Last Wish,by Ajay K. Pandey,4.7,1010,9382665870,88
  B. K. S. Iyengar,8172235011, LIGHT ON YOGA,591,298,4.5,Light on Yoga: The Classic Guide to Yoga by the World's Foremost Authority,by B.K.S. Iyengar,4.5,316,8172235011,298
  Faber Adele,1848126328, How to Talk So Kids Will Listen and Listen So Kids Will Talk,55,225,4.5,How to Talk So Kids Will Listen and Listen So Kids Will Talk,by Adele Faber,4.7,86,1848126328,255
  Archer Jeffrey,1509867767, Tell Tale,313,255,4.5,Tell Tale,by Jeffrey Archer,4.4,133,1509867767,269
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009,8172345666,75
  Geronimo Stilton,9386313774, The Ship of Secrets,647,374,4.5,The Ship of Secrets (Geronimo Stilton and the Kingdom of Fantasy #10),by Geronimo Stilton,4.8,151,9386313774,374
  Stilton Geronimo,9385887815, Geronimo Stilton And The Kingdom Of Fantasy #8,626,360,4.5,Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,by Geronimo Stilton,4.6,329,9385887815,274
  Kevin Missal,8193503309, Dharmayoddha Kalki - Avatar of Vishnu Book 1,453,188,4.5,Dharmayoddha Kalki: Avatar of Vishnu (Book 1),by Kevin Missal,4.2,226,8193503309,179
  Stilton Geronimo,9351033147, The Search for Treasure,572,350,4.5,Kingdom of Fantasy #6: The Search for Treasure (Geronimo Stilton - Kingdom of...,by Geronimo Stilton,4.6,162,9351033147,350
  Stilton Geronimo,9351035492, The Enchanted Charms,796,392,4.5,Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms,by Geronimo Stilton - Illustrated,4.7,182,9351035492,373
  unknown,9351031934, Geronimo Stilton the Journey Through Time,901,371,4.5,Geronimo Stilton Se: The Journey through Time,by Geronimo Stilton,4.6,195,9351031934,371
  Madeline Miller,1526603330, Circe,148,388,4.5,Circe: The Sunday Times Bestseller,by Madeline Miller,4.3,47,1526603330,364
  Geronimo Stilton,9351037703, The Race Against Time,408,392,4.5,Geronimo Stilton Journey Through Time 3,by Geronimo Stilton - Import,4.7,87,9351037703,392
  Rowling J. K.,8186775609, Harry Potter and the Philosopher's Stone,362,102,4.5,Harry Potter Aur Paras Patthar,by J.K. Rowling,4.7,115,8186775609,102
  Dr. Joseph Murphy,8192910962, The Power of Your Subconscious Mind,4640,94,4.5,The Power of your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"4,977",8192910962,65
  Archer Jeffrey,1509867767, Tell Tale,313,255,4.5,Tell Tale,by Jeffrey Archer,4.4,133,1509867767,269
  Khaled Hosseini,1408844443, A Thousand Splendid Suns,2540,309,4.5,A Thousand Splendid Suns,by Khaled Hosseini,4.5,729,1408844443,374
  Pandey Ajay K.,9382665870, Her Last Wish,2431,101,4.5,Her Last Wish,by Ajay K. Pandey,4.7,1010,9382665870,88
  George Orwell,8192910903,1984,339,99,4.5,1984,George Orwell,4.4 out of 5 stars,738,8192910903,88
  Charlotte Bronte,8193387619, Jane Eyre : Jane Eyre,39,99,4.5,Jane Eyre,by Charlotte Bronte,4.3,183,8193387619,88
  Tiwari Anuj,8129149567, I TAGGED HER IN MY HEART,452,109,4.5,I Tagged Her in My Heart,by Anuj Tiwari - Import,4.7,224,8129149567,100
  Chbosky Stephen,1451696191, The Perks of Being a Wallflower,1897,186,4.5,The Perks of Being a Wallflower,by Stephen Chbosky,4.4,306,1451696191,186
  Sidney Sheldon,8172234937, THE OTHER SIDE OF MIDNIGHT,386,209,4.5,The Other Side of Midnight,by Sidney Sheldon,4.3,53,8172234937,209
  Farrukh Dhondy,9350290820, RUMI A NEW TRANSLATION,212,238,4.5,Rumi A New Translation,by Farrukh Dhondy,4.1,67,9350290820,238
  Chand Munshi Prem,9350336618, 21 Anmol Kahaniya,55,87,4.5,21 Anmol Kahaniyaa (Premchand),by Premchand,4.5,85,9350336618,119
  Danielle Steel,1509881336, The Right Time,57,226,4.5,The Right Time,by Danielle Steel,3.6,4,1509881336,211
  Sidney Sheldon,8172234864, BLOODLINE,362,280,4.5,Bloodline,by Sidney Sheldon,4.3,67,8172234864,280
  Sidney Sheldon,8172234902, TELL ME YOUR DREAMS,902,209,4.5,Tell Me your Dreams,by Sidney Sheldon,4.4,160,8172234902,209
  Kevin Missal,8193503309, Dharmayoddha Kalki - Avatar of Vishnu Book 1,453,188,4.5,Dharmayoddha Kalki: Avatar of Vishnu (Book 1),by Kevin Missal,4.2,226,8193503309,179
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5,24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,9388026586,270
  Disha Experts,9388240944, Banking Awareness for SBI & IBPS Bank Clerk/ PO/ RRB/ RBI exams 3rd Edition,34,158,4.5,Banking Awareness for SBI & IBPS Bank Clerk/PO/RRB/RBI Exams,by Disha Experts,4.5,6,9388240944,147
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247,8172343116,99
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5,How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",8192910997,79
  Einstein Albert,9380914229, Relativity,1121,175,4.5,Relativity: The Special and the General Theory (General Press),by Albert Einstein,4.4,430,9380914229,146
  Om Swami,9351772624, The Wellness Sense,233,178,4.5,The Wellness Sense: A Practical Guide to your Physical and Emotional Health Based...,by Om Swami,4.8,334,9351772624,178
  Isha Foundation,9351363783, A Taste of Well-Being: Sadhgurus Insights for Your Gastronomics,298,172,4.5,A Taste of Well-Being: Sadhguru's Insights for Your Gastronomics,by Isha Foundation,4.3,180,9351363783,172
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009,8172345666,75
  B. K. S. Iyengar,8172235011, LIGHT ON YOGA,591,298,4.5,Light on Yoga: The Classic Guide to Yoga by the World's Foremost Authority,by B.K.S. Iyengar,4.5,316,8172235011,298
  Khera Shiv,9382951717, You Can Win,6129,232,4.5,You Can Win: A step by step tool for top achievers,by Shiv Khera,4.6,770,9382951717,232
  B. K. S. Iyengar,8172235410, LIGHT ON PRANAYAMA,153,248,4.5,Light on Pranayama,by B.K.S. Iyengar,4.3,70,8172235410,248
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5,The Business School,by Robert T. Kiyosaki,4.5,216,8186775811,108
  Byrne Rhonda,1847370292, The Secret,6680,498,4.5,The Secret,Rhonda Byrne,4.5 out of 5 stars,"1,605",1847370292,415
  Tolle Eckhart,8190105914, The Power of Now,760,248,4.5,The Power of Now: A Guide to Spiritual Enlightenment,by Eckhart Tolle,4.5,457,8190105914,250
  Singh Upinder,8131716775, History of Ancient and Early Medieval India,890,483,4.5,A History of Ancient and Early Medieval India: From the Stone Age to the 12th...,by Upinder Singh,4.4,247,8131716775,504
  Harari Yuval Noah,1784703931, Homo Deus,338,270,4.5,Homo Deus: A Brief History of Tomorrow,by Yuval Noah Harari,4.5,304,1784703931,344
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247,8172343116,99
  Bar-Zohar Michael,8184958455, Mossad,560,280,4.5,Mossad,by Michael Bar-Zohar - Import,4.6,637,8184958455,340
  unknown,9387067718, Bharatiya Kala Evam Sanskriti,1046,370,4.5,Bharatiya Kala Evam Sanskriti,by Nitin Singhania,4.6,128,9387067718,370
  Majid Husain,9352606221, Geography of India Seventh Edition,3645,498,4.5,Geography of India,by Majid Husain,4.1,227,9352606221,460
  Isha Foundation,9351363783, A Taste of Well-Being: Sadhgurus Insights for Your Gastronomics,298,172,4.5,A Taste of Well-Being: Sadhguru's Insights for Your Gastronomics,by Isha Foundation,4.3,180,9351363783,172
  Pandey D. C.,9313163292, 40 Years' Chapterwise Topicwise Solved Papers (2018-1979) Iit Jee Physics,1603,237,4.5,40 Years' Chapterwise Topicwise Solved Papers (2018-1979) IIT JEE Physics,DC. Pandey,4.1 out of 5 stars,90,9313163292,191
  Gandhi M. K.,8172343116, The Story of My Experiments with Truth,239,166,4.5,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247,8172343116,99
  Dr. Murphy Joseph,8172345666, The Power of Your Subconscious Mind - Unlock Your Master Key to Success,631,169,4.5,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009,8172345666,75
  Kevin Missal,8193503309, Dharmayoddha Kalki - Avatar of Vishnu Book 1,453,188,4.5,Dharmayoddha Kalki: Avatar of Vishnu (Book 1),by Kevin Missal,4.2,226,8193503309,179
  Trideb Kumar Chatterjee,8183741916, Bhoy Rohosyo 101,27,440,4.5,Bhoy Rohosyo 101 [Horror Story] (Bengali),by Trideb Kumar Chatterjee & Subhasish Ghosh,4.5,4,8183741916,440
  Adams Douglas,1509852794, The Hitchhiker's Guide to the Galaxy Omnibus - A Trilogy of Five,82,532,4.5,The Hitchhiker's Guide to the Galaxy Omnibus: A Trilogy in Five Parts (Hitchhikers...,by Douglas Adams,4.1,154,1509852794,510
  Om Swami,9351772624, The Wellness Sense,233,178,4.5,The Wellness Sense: A Practical Guide to your Physical and Emotional Health Based...,by Om Swami,4.8,334,9351772624,178
  Pattanaik Devdutt,8129137704, My Gita,2702,170,4.5,My Gita,by Devdutt Pattanaik - Special Edition,4.2,686,8129137704,153
  Pichon L.,9351033007, Tom Gates,238,176,4.5,Tom Gates Book #2: Excellent Excuses Cand Other Good Stuff,by Tom Gates,4.8,76,9351033007,157
  Randall Munroe,1848549563, What If?,238,299,4.5,What If?,by Randall Munroe - Kindle eBook,4.4,195,1848549563,291
  Gates Tom,9351033031, Tom Gates Book #5,174,194,4.5,Tom Gates Book: Absolutely Fantastic,by Tom Gates,4.7,27,9351033031,194
  Pichon L.,9351033023, Tom Gates,176,221,4.5,Tom Gates Book #4: Genius Ideas,by Tom Gates,4.4,55,9351033023,257
  Zaidi S. Hussain,9352779290, Eleventh Hour by,88,169,4.5,Eleventh Hour,by S. Hussain Zaidi,4,50,9352779290,160
  Salil Desai,8175994258, 3 and a Half Murders - An Inspector Saralkar Mystery,16,188,4.5,3 and a Half Murders: An Inspector Saralkar Mystery,by Salil Desai,4.4,69,8175994258,189
  Stilton Geronimo,9385887351, Geronimo Stilton #63,108,176,4.5,Geronimo Stilton #63? the Cheese Experiment,by Geronimo Stilton,4.3,41,9385887351,161
  Chatterjee Satishchandra,8129111950, An Introducation to Indian Philosophy,759,118,4.5,An Introduction to Indian Philosophy,by Satishchandra Chatterjee,4.4,91,8129111950,106
  Pandey Ajay K.,9382665870, Her Last Wish,2431,101,4.5,Her Last Wish,by Ajay K. Pandey,4.7,1010,9382665870,88
  unknown,9388026586, 24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),2348,325,4.5,24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,220,9388026586,270
  Laxmikanth M.,9352603869, Bharat Ki Rajvyavastha,3230,385,4.5,Bharat Ki Rajvayvastha,M. Laxmikanth,4.5 out of 5 stars,673,9352603869,381
  Majid Husain,9352606221, Geography of India Seventh Edition,3645,498,4.5,Geography of India,by Majid Husain,4.1,227,9352606221,460
  unknown,9387067718, Bharatiya Kala Evam Sanskriti,1046,370,4.5,Bharatiya Kala Evam Sanskriti,by Nitin Singhania,4.6,128,9387067718,370
  Khan Gabriel,9386850133, The Dirty Dozen - Hitmen of Mumbai Mafia,32,221,4.5,The Dirty Dozen: Hitmen of the Mumbai Underworld,by Gabriel Khan,4.2,54,9386850133,221
  Padmanabhan Chandra,8189975749, Simply South: Traditional Vegetarian Cooking,19,315,4.5,Simply South : Traditional Vegetarian Cooking,by Chandra Padmanabhan,4.4,9,8189975749,237
  Singh Upinder,8131716775, History of Ancient and Early Medieval India,890,483,4.5,A History of Ancient and Early Medieval India: From the Stone Age to the 12th...,by Upinder Singh,4.4,247,8131716775,504
  Balagurusamy,9352607996, Object-Oriented Programming with C++,276,371,4.5,Object-Oriented Programming with C++,by E Balagurusamy,4.5,73,9352607996,371
  Hill Napoleon,8192910911, Think and Grow Rich,2871,94,4.5,Think and Grow Rich,Napoleon Hill,4.6 out of 5 stars,"3,596",8192910911,64
  Carnegie Dale,8192910997, How To Win Friends & Influence People - The First and Still the Best Book of Its kind on Self-Help,231,130,4.5,How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"2,640",8192910997,79
  Arihant Experts,9313165317, Self Study Guide CLAT (Common Law Admission Test) 2019,75,316,4.5,Self Study Guide CLAT (Common Law Admission Test) 2019,by Arihant Experts,3.6,4,9313165317,405
  A P Bhardwaj,9352864964, Legal Awareness and Legal Reasoning,236,412,4.5,Legal Awareness and Legal Reasoning: For CLAT and Other Law Entrance Examinations...,by A. P. Bhardwaj,4.4,46,9352864964,412
  Vishen Lakhiani Founder of Mindvalley,1623367581, Code of the Extraordinary Mind- The - 10 Unconventional Laws to Redefine Your Life and Succeed On Your Own Terms,47,420,4.5,The Code of the Extraordinary Mind: 10 Unconventional Laws to Redefine Your Life...,by Vishen Lakhiani,4.5,60,1623367581,431
  Robert T. Kiyosaki,8186775811, Rich Dads Business School For People Who Like Helping People,1281,154,4.5,The Business School,by Robert T. Kiyosaki,4.5,216,8186775811,108
  unknown,9312149547, All in One English Communicative Cbse Class 10th,2108,260,4.5,All  in One English Communicative CBSE Class 10  (based on textbook Literature...,by Gajendra Singh,4.5,157,9312149547,235
  Singh Gajendra,9312149431, All in One English Language and Literature Cbse Class 9th,973,209,4.5,CBSE All  In One English Language and Literature CBSE Class 9 (based on Books...,by Gajendra Singh,4.3,56,9312149431,234
  Coelho Paulo,8172235143, The Fifth Mountain,411,218,4.5,The Fifth Mountain,by Paulo Coelho,4.4,36,8172235143,224
  Sidney Sheldon,8172234902, TELL ME YOUR DREAMS,902,209,4.5,Tell Me your Dreams,by Sidney Sheldon,4.4,160,8172234902,209
  Stilton Geronimo,9386106256, Geronimo Stilton #64,285,184,4.5,Geronimo Stilton #64: The Magical Mission,by Geronimo Stilton,4.4,91,9386106256,272
  Geronimo Stilton,9385887750, The Hunt for the Secret Papyrus (Geronimo Stilton: S),331,328,4.5,The Hunt for the Secret Papyrus (Geronimo Stilton),by Geronimo Stilton - Import,4.6,82,9385887750,328
  Stilton Geronimo,9386313219, The Hunt for the Hundredth Key,330,413,4.5,Geronimo Stilton Se: The Hunt for the 100th Key,by Geronimo Stilton,4.5,100,9386313219,413
  Stilton Geronimo,9385887351, Geronimo Stilton #63,108,176,4.5,Geronimo Stilton #63? the Cheese Experiment,by Geronimo Stilton,4.3,41,9385887351,161
  Panel of Experts,9388036689, Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),410,139,4.5,Oswaal CBSE Sample Question Paper Class 10 Mathematics (For March 2019 Exam),Oswaal Editorial Board,4.4 out of 5 stars,42,9388036689,127
  unknown,9387504913, Oswaal CBSE Question Bank for Class 10 Science (Mar 2019 Exam),1879,247,4.5,Oswaal CBSE Question Bank Class 10 Science Chapterwise and Topicwise (For March 2019 Exam),Not Available,4.6 out of 5 stars,184,9387504913,247
  Singh Upinder,8131716775, History of Ancient and Early Medieval India,890,483,4.5,A History of Ancient and Early Medieval India: From the Stone Age to the 12th...,by Upinder Singh,4.4,247,8131716775,504
